epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,26786.1,1.48888,1.36916,1.38396,0.61423,0.55217,0.57632,0.32164,1.68783,1.53409,1.51047,0.003763,0.003763,0.003763
65,27200.7,1.48249,1.35638,1.37962,0.61763,0.55067,0.57952,0.32263,1.68808,1.53296,1.51061,0.003664,0.003664,0.003664
66,27616.4,1.48224,1.34727,1.37459,0.61899,0.55088,0.58251,0.32358,1.68855,1.53204,1.51051,0.003565,0.003565,0.003565
67,28032,1.47329,1.33368,1.37047,0.64894,0.54375,0.58555,0.32321,1.68856,1.53031,1.51031,0.003466,0.003466,0.003466
68,28447.2,1.46393,1.32323,1.36298,0.65802,0.54617,0.58947,0.32483,1.68934,1.5282,1.51017,0.003367,0.003367,0.003367
69,28863.1,1.46485,1.31728,1.36303,0.65922,0.54621,0.58986,0.32368,1.68967,1.52727,1.5097,0.003268,0.003268,0.003268
70,29279,1.4618,1.3004,1.35909,0.66059,0.54657,0.59193,0.32531,1.69076,1.52655,1.50973,0.003169,0.003169,0.003169
71,29694.9,1.45365,1.29398,1.35356,0.66258,0.5482,0.59217,0.32524,1.69156,1.52506,1.50975,0.00307,0.00307,0.00307
72,30109.9,1.45112,1.28831,1.35292,0.66358,0.54832,0.59218,0.32472,1.69213,1.52313,1.50964,0.002971,0.002971,0.002971
73,30526,1.44551,1.27575,1.34966,0.67166,0.54799,0.5918,0.3243,1.69261,1.52173,1.5096,0.002872,0.002872,0.002872
74,30941,1.43661,1.25929,1.34329,0.67272,0.55081,0.5924,0.32433,1.69308,1.51974,1.5098,0.002773,0.002773,0.002773
75,31360.3,1.43068,1.25162,1.34212,0.67176,0.55134,0.59162,0.32398,1.69372,1.51869,1.50985,0.002674,0.002674,0.002674
76,31780.4,1.42131,1.24321,1.33833,0.65856,0.55056,0.58753,0.32389,1.69428,1.51729,1.51012,0.002575,0.002575,0.002575
77,32196.6,1.41918,1.23921,1.32646,0.6557,0.54938,0.58753,0.32422,1.69468,1.5166,1.50978,0.002476,0.002476,0.002476
78,32613.3,1.4115,1.22484,1.32621,0.65265,0.54609,0.58788,0.32396,1.69578,1.51508,1.51035,0.002377,0.002377,0.002377
79,33029.4,1.4069,1.21779,1.32248,0.65345,0.54985,0.58762,0.32412,1.69662,1.51558,1.51038,0.002278,0.002278,0.002278
80,33445,1.40265,1.20164,1.31816,0.65202,0.55109,0.58828,0.32502,1.69818,1.51424,1.51072,0.002179,0.002179,0.002179
81,33861.9,1.39887,1.19734,1.31415,0.65383,0.55005,0.58815,0.32526,1.69941,1.51258,1.51108,0.00208,0.00208,0.00208
82,34277.5,1.39032,1.17873,1.31083,0.65534,0.54886,0.58848,0.3248,1.70051,1.51168,1.51151,0.001981,0.001981,0.001981
83,34694.5,1.38304,1.17535,1.30732,0.62489,0.56001,0.58865,0.32474,1.70159,1.51125,1.51187,0.001882,0.001882,0.001882
84,35110.3,1.3828,1.16787,1.30209,0.62034,0.56126,0.58862,0.32503,1.70285,1.51111,1.51217,0.001783,0.001783,0.001783
85,35526.2,1.37075,1.14972,1.29837,0.62269,0.55654,0.58883,0.3253,1.70415,1.5114,1.51248,0.001684,0.001684,0.001684
